,Actual_Price,CompanyName,Discount,Discount_Price,MobileName,Ratings,Reviews,Stars
88,"8,499",Redmi,17,"6,999","Redmi 8A Dual (Sky White, 32 GB)","29,122","2,195",4.3
89,"19,999",Samsung,22,"15,499","Samsung Galaxy F41 (Fusion Blue, 64 GB)","1,62,915","21,368",4.3
90,"19,999",POCO,20,"15,999","POCO X2 (Phoenix Red, 128 GB)","2,29,195","25,308",4.5
91,"14,999",Infinix,33,"9,999","Infinix Note 7 (Forest Green, 64 GB)","10,338","1,098",4.3
92,"10,999",Realme,18,"8,999","Realme C12 (Power Silver, 32 GB)","1,85,734","11,760",4.4
93,"12,990",OPPO,15,"10,990","OPPO A33 (Mint Cream, 32 GB)",292,21,4.1
94,"10,999",Realme,18,"8,999","Realme C12 (Power Blue, 32 GB)","1,85,734","11,760",4.4
95,"39,900",Apple,17,"32,999","Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)","78,810","6,926",4.5
96,"15,990",OPPO,25,"11,990","OPPO A31 (Fantasy White, 128 GB)","16,319","1,047",4.3
97,"22,990",OPPO,0,"22,990","OPPO F15 (Unicorn White, 128 GB)","20,137","1,773",4.4
98,"22,990",OPPO,0,"22,990","OPPO F15 (Lightening Black, 128 GB)","20,137","1,773",4.4
99,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Blue, 128 GB)","1,62,915","21,368",4.3
100,"1,179",Nokia,0,"1,172",Nokia 105 SS 2020 / 105 ta-1304 ss,"35,438","2,903",4.3
101,"19,999",Samsung,22,"15,499","Samsung Galaxy F41 (Fusion Black, 64 GB)","1,62,915","21,368",4.3
102,"19,999",POCO,20,"15,999","POCO M2 Pro (Out of the Blue, 128 GB)","1,77,868","18,761",4.4
103,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Green, 128 GB)","1,62,915","21,368",4.3
104,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Black, 128 GB)","1,62,915","21,368",4.3
105,"18,999",POCO,21,"14,999","POCO X2 (Matrix Purple, 64 GB)","2,29,195","25,308",4.5
106,"17,999",POCO,22,"13,999","POCO M2 Pro (Two Shades of Black, 64 GB)","1,77,868","18,761",4.4
107,"11,999",Redmi,16,"9,999","Redmi 9 Prime (Matte Black, 64 GB)","6,872",471,4.3
108,"17,999",Realme,16,"14,999","Realme 7 (Mist White, 64 GB)","1,64,372","17,340",4.3
109,"19,999",Samsung,22,"15,499","Samsung Galaxy F41 (Fusion Blue, 64 GB)","1,62,915","21,368",4.3
110,"20,999",Realme,19,"16,999","Realme 7 (Mist Blue, 128 GB)","42,748","4,666",4.3
111,"19,999",Samsung,22,"15,499","Samsung Galaxy F41 (Fusion Green, 64 GB)","1,62,915","21,368",4.3
112,"19,999",Motorola,12,"17,499","Motorola One Fusion+ (Twilight Blue, 128 GB)","78,068","9,093",4.4
113,"12,990",OPPO,15,"10,990","OPPO A33 (Mint Cream, 32 GB)",292,21,4.1
114,"17,990",OPPO,13,"15,490","OPPO A53 (Fairy White, 128 GB)","2,476",177,4.2
115,"8,299",Itel,24,"6,299","Itel Vision1 (Gradation Green, 32 GB)","12,843","1,175",4.1
116,"12,990",OPPO,15,"10,990","OPPO A31 (Fantasy White, 64 GB)","17,421","1,212",4.3
117,"12,990",OPPO,15,"10,990","OPPO A31 (Mystery Black, 64 GB)","17,421","1,212",4.3
118,"1,119",Lava,19,897,Lava A1,"83,057","9,373",4.2
119,"10,990",OPPO,18,"8,990","OPPO A12 (Black, 32 GB)","18,748","1,501",4.3
120,"15,900",OPPO,0,"15,900","OPPO A52 (Twilight Black, 128 GB)","3,378",266,4.3
121,"6,499",Itel,0,"6,499","Itel VISION1 (GRADATION GREEN, 32 GB)",92,10,4.1
122,"1,227",Nokia,4,"1,174",Nokia 105 SS 2020 / 105 ta-1304 ss,"35,438","2,903",4.3
123,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Blue, 128 GB)","1,62,915","21,368",4.3
124,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Green, 128 GB)","1,62,915","21,368",4.3
125,"7,999",Tecno,18,"6,499","Tecno Spark Go 2020 (Aqua Blue, 32 GB)","33,317","3,276",4.4
126,"20,999",Realme,19,"16,999","Realme 7 (Mist White, 128 GB)","42,748","4,666",4.3
127,"19,990",Vivo,17,"16,490","Vivo Y50 (Pearl White, 128 GB)","10,505",787,4.4
128,"19,990",Vivo,17,"16,490","Vivo Y50 (Iris Blue, 128 GB)","10,505",787,4.4
129,"15,990",OPPO,18,"12,990","OPPO A53 (Fairy White, 64 GB)","12,249",931,4.3
130,"1,204",Nokia,0,"1,192",Nokia TA-1010/105,"33,308","2,882",4.3
131,"12,999",Redmi,11,"11,499","Redmi Note 8 (Neptune Blue, 64 GB)","41,971","3,054",4.4
132,"19,999",Motorola,12,"17,499","Motorola One Fusion+ (Moonlight White, 128 GB)","78,068","9,093",4.4
133,"19,999",Samsung,22,"15,499","Samsung Galaxy F41 (Fusion Blue, 64 GB)","1,62,915","21,368",4.3
134,"11,999",Tecno,16,"9,999","Tecno Spark Power 2 (Misty Grey, 64 GB)","62,764","7,566",4.3
135,"11,999",Tecno,16,"9,999","Tecno Spark Power 2 (Ice Jadeite, 64 GB)","62,764","7,566",4.3
136,"47,900",Apple,18,"38,999","Apple iPhone XR ((PRODUCT)RED, 64 GB) (Includes EarPods, Power Adapter)","61,624","5,322",4.6
137,"11,999",Tecno,16,"9,999","Tecno POVA (Speed Purple, 64 GB)",564,55,4.4
138,"13,999",Tecno,14,"11,999","Tecno POVA (Magic Blue, 128 GB)",0,0,0
